time	thread	event	node	message	data
21:49:14.461918	5237325	Stop	Generating	44	0
21:49:14.461931	5237325	Start	Generating	45	0
21:49:14.462823	5237326	Stop	Histogramming	44	0
21:49:14.462907	5237326	Start	Histogramming	45	0
21:49:14.466206	5237323	Stop	Calibration[B]	15	13
21:49:14.466218	5237323	Start	Calibration[B]	16	1
21:49:14.468811	5237321	Stop	Propagating	17	0
21:49:14.468821	5237321	Start	Propagating	25	0
21:49:14.468911	5237327	Stop	Propagating	18	0
21:49:14.468991	5237327	Start	Propagating	26	0
21:49:14.468993	5237324	Stop	Propagating	19	0
21:49:14.469048	5237324	Start	Propagating	27	0
21:49:14.469213	5237320	Stop	Propagating	20	0
21:49:14.469242	5237320	Start	Calibration[A]	15	13
21:49:14.469444	5237319	Stop	Propagating	21	0
21:49:14.469498	5237328	Stop	Propagating	48	0
21:49:14.469521	5237328	Start	Propagating	47	0
21:49:14.469507	5237319	Start	Propagating	28	0
21:49:14.470655	5237312	Stop	Propagating	22	0
21:49:14.470676	5237312	Start	Propagating	29	0
21:49:14.471934	5237325	Stop	Generating	45	0
21:49:14.471966	5237325	Start	Generating	46	0
21:49:14.472920	5237326	Stop	Histogramming	45	0
21:49:14.472937	5237326	Start	Histogramming	46	0
21:49:14.476220	5237323	Stop	Calibration[B]	16	1
21:49:14.476230	5237323	Start	Calibration[C]	18	1
21:49:14.478820	5237318	Stop	Propagating	23	0
21:49:14.478842	5237318	Start	Propagating	30	0
21:49:14.479247	5237320	Stop	Calibration[A]	15	13
21:49:14.479334	5237320	Start	Propagating	31	0
21:49:14.479259	5237322	Stop	Propagating	24	0
21:49:14.479397	5237322	Start	Calibration[B]	17	13
21:49:14.481973	5237325	Stop	Generating	46	0
21:49:14.481990	5237325	Start	Generating	47	0
21:49:14.482940	5237326	Stop	Histogramming	46	0
21:49:14.482956	5237326	Start	Histogramming	47	0
21:49:14.486232	5237323	Stop	Calibration[C]	18	1
21:49:14.486247	5237323	Start	Propagating	32	0
21:49:14.489416	5237322	Stop	Calibration[B]	17	13
